team,year,meet,host,venue,atbyu,vsbyu,POC,black,athlete,vault,bars,beam,floor,ND,ifND,VTjudge1,VTjudge2,UBjudge1,UBjudge2,BBjudge1,BBjudge2,FXjudge1,FXjudge2,VTjudge3,VTjudge4,UBjudge3,UBjudge4,BBjudge3,BBjudge4,FXjudge3,FXjudge4,VTjudge5,VTjudge6,UBjudge5,UBjudge6,BBjudge5,BBjudge6,FXjudge5,FXjudge6
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,1,1,Nia Dennis,9.85,.,.,9.95,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Norah Flatley,.,9.85,9.9,9.9,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,1,1,Margzetta Frazier,.,9.9,.,.,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,1,0,Grace Glenn,.,.,9.875,.,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,1,0,Felicia Hano,9.875,9.85,9.775,9.95,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Madison Kocian,.,9.875,.,9.85,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Savannah Kooyman,.,9.675,.,.,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Gracie Kramer,9.95,.,.,9.9,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Kendal Poston,9.9,.,.,.,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UCLA,2020,10,UCLA,Pauley Pavillion,0,0,0,0,Kyla Ross,10,9.975,9.85,9.9,0,0,Sibby Lane,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Jamie O'Neil,Sheryl DeWeerd,Amanda Kay Turko,Sibby Lane,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
