team,division
LSU,1
California,1
Utah,1
Florida,1
Stanford,1
Oklahoma,1
Arkansas,1
Alabama,1
Kentucky,1
Denver,1
Missouri,1
Minnesota,1
Ohio State,1
Michigan State,1
Penn State,1
Arizona State,1
UCLA,1
Georgia,1
Michigan,1
Auburn,1
Oregon State,1
Illinois,1
Washington,1
Nebraska,1
BYU,1
Maryland,1
Southern Utah,1
North Carolina State,1
Iowa State,1
Kent State,1
Arizona,1
Towson,1
Boise State,1
Ball State,1
Clemson,1
San Jose State,1
Iowa,1
George Washington,1
Western Michigan,1
Central Michigan,1
Pittsburgh,1
North Carolina,1
Lindenwood,1
Illinois State,1
Utah State,1
Rutgers,1
UC Davis,1
New Hampshire,1
Pennsylvania,1
Eastern Michigan,1
Texas Woman's,2
Temple,1
West Virginia,1
Sacramento State,1
Northern Illinois,1
Air Force,1
Bowling Green,1
Yale,1
S.E. Missouri,1
LIU,1
Brown,1
West Chester,2
William & Mary,1
Cornell,1
Bridgeport,2
Southern Conn.,2
UW-Oshkosh,3
Brockport,3
UW-La Crosse,3
UW-Whitewater,3
Fisk,2
Alaska,1
Talladega,2
UW-Stout,3
Cortland State,3
Rhode Island College,3
Ithaca College,3
Ursinus College,3
Springfield College,3
Centenary College,3
UW-Eau Claire,3
Winona State,3
Greenville,3
Gustavus Adolphus,3
Utica,3
Simpson,3
Hamline,3
UIC,1
Seattle Pacific,2
Wilberforce,3
